Date,Line item,Key-values,Total impressions
12/11/24,AAO_A-Million-Ads_2024_2579576_Content-Spons_MLT_180924 (170279),refresh=true,3
12/11/24,AAO_Amagi-Corporation_2024_2584816_Custom-Spons_MLT_081024 (188277),refresh=true,2
12/11/24,AAO_Amazon_2024_2587016_Content-Spons_MLT_221024 (172241),refresh=true,2
12/11/24,AAO_Amazon_2024_2594531_Content-Spons_MLT_061224 (172249),refresh=true,36
12/11/24,AAO_Arc_First Impression Takeover,refresh=true,31
12/11/24,AAO_Arc_House - Backfill,refresh=true,112
12/11/24,AAO_Arc_Native_NTV_01_Below7th_article,refresh=true,2
12/11/24,AAO_Arc_Native_NTV_02_BelowLastParagraph,refresh=true,7
12/11/24,AAO_Arc_Native_NTV_03_RightRail,refresh=true,11
12/11/24,AAO_Arc_Resource-Center-Mid-Leaderboard_Test,refresh=true,13
12/11/24,AAO_Audacy_2024_2587796_Content-Spons_MLT_211024 (156345),refresh=true,2
12/11/24,AAO_Audacy_2024_2588521_Content-Spons_MLT_291024 (164652),refresh=true,1
12/11/24,AAO_Audacy_2024_2592086_Content-Spons_MLT_181124 (156359),refresh=true,11
12/11/24,AAO_Audacy_2024_2594591_Content-Spons_MLT_101224 (156363),refresh=true,151
12/11/24,AAO_Audacy_2024_Webcast_ROS_House_MLT_261124,refresh=true,782
12/11/24,AAO_Audacy_2024_Webcast_ROS_House_MLT_281024,refresh=true,942
12/11/24,AAO_Audacy_2024_Whitepaper_ROS_House_MLT_071124,refresh=true,889
12/11/24,AAO_Audacy_2024_Whitepaper_ROS_House_MLT_091224,refresh=true,889
12/11/24,AAO_Avanade_August-2024_2594406_Content-Spons_MLT_051224 (180227),refresh=true,117
12/11/24,AAO_CMI-Media-Group_2024_2590856_Content-Spons_MLT_141124 (148924),refresh=true,5
12/11/24,AAO_Celtra_2024_Webcast_ROS_House_MLT_270924,refresh=true,952
12/11/24,AAO_Clinch_2024_Webcast_ROS_House_MLT_291024,refresh=true,876
12/11/24,AAO_Comcast_Q1-Q4-2024_2560196_Content-Spons_MLT_140524 (173790),refresh=true,2
