Date,Line item,Key-values,Total impressions
10/23/24,AAO_Adobe_2024_2579546_Content-Spons_MLT_180924 (181711),refresh=true,1
10/23/24,AAO_Adobe_2024_2585876_Content-Spons_MLT_091024 (181714),refresh=true,37
10/23/24,AAO_Allionce_2024_2580121_Content-Spons_MLT_160924 (180150),refresh=true,13
10/23/24,AAO_Amagi-Corporation_2024_2584816_Custom-Spons_MLT_081024 (188277),refresh=true,117
10/23/24,AAO_Amazon_2024_2587016_Content-Spons_MLT_221024 (172241),refresh=true,702
10/23/24,AAO_Audacy_2024_2548361_Content-Spons_MLT_260324 (156338),refresh=true,2
10/23/24,AAO_Audacy_2024_2587796_Content-Spons_MLT_211024 (156345),refresh=true,462
10/23/24,AAO_Awin-Inc_2024_2580826_Content-Spons_MLT_230924 (165595),refresh=true,3
10/23/24,AAO_Billups_2024_Fireside_2585031_Custom-Spons_MLT_161024 (184421),refresh=true,9
10/23/24,AAO_Brand-Networks_2024_2584581_Content-Spons_MLT_101024 (186086),refresh=true,5
10/23/24,AAO_Celtra_2024_Webcast_ROS_House_MLT_270924,refresh=true,"1,283"
10/23/24,AAO_DAC_2024_Whitepaper_ROS_House_MLT_130924,refresh=true,"1,271"
10/23/24,AAO_Disqo_2024_Webcast_ROS_House_MLT_100924,refresh=true,"1,357"
10/23/24,AAO_Disqo_2024_Webcast_ROS_House_MLT_250724,refresh=true,"1,277"
10/23/24,AAO_Disqo_2024_Whitepaper_ROS_House_MLT_150824,refresh=true,"1,305"
10/23/24,AAO_Disqo_2024_Whitepaper_ROS_House_MLT_151024,refresh=true,"1,296"
10/23/24,AAO_Fluency_2023_Publisher-Page_Content-Spons_MLT_210223 (118882),refresh=true,3
10/23/24,AAO_Flywheel_2024_2563611_Content-Spons_MLT_070624 (173780),refresh=true,7
10/23/24,AAO_Google_2024_2554286_Content-Spons_MLT_230424 (167654),refresh=true,27
10/23/24,AAO_Google_2024_2575701_Content-Spons_MLT_190824 (167657),refresh=true,2
10/23/24,AAO_Google_Q3-Q4-2024_2581336_Content-Spons_MLT_240924 (185793),refresh=true,6
10/23/24,AAO_GroundTruth_2024_Whitepaper_ROS_House_MLT_190824,refresh=true,"1,327"
10/23/24,AAO_HP_Blocking-Pixel_LB_01_200421_New,refresh=true,1
10/23/24,AAO_Healthline-Media_2024_2573931_Content-Spons_MLT_140824 (154723),refresh=true,3
10/23/24,AAO_House_2021_AA-Corporate-Subscriptions_The-List_Sponsored-Content_MLT_120421,refresh=true,19
10/23/24,AAO_House_2024_Ad-Age-A-List&Creativity-Awards_ROS_House_MLT_211024,refresh=true,"1,227"
10/23/24,AAO_House_2024_Ad-Age-Amp_ROS_House_MLT_031024,refresh=true,"1,358"
10/23/24,AAO_House_2024_Ad-Age-NextGen-Marketing-Summit_ROS_House_MLT_211024,refresh=true,"1,304"
10/23/24,AAO_House_2024_Ad-Age-OTM_ROS_House_MLT_031024,refresh=true,"1,242"
10/23/24,AAO_House_Sponsored-Product-Cards_ROC_PCARD1+PCARD2,refresh=true,"23,599"
10/23/24,AAO_Ipsos-Insight-LLC_2024_2540836_Content-Spons_MLT_130224 (163116),refresh=true,1
10/23/24,AAO_Kantar-Cream_2024_Whitepaper_ROS_House_MLT_220824,refresh=true,"1,223"
10/23/24,AAO_Kantar_2024_Whitepaper_ROS_House_MLT_240924,refresh=true,"1,264"
10/23/24,AAO_Klaviyo_2024_Whitepaper_ROS_House_MLT_160924,refresh=true,"1,296"
10/23/24,AAO_Linqia_2024_2572141_Content-Spons_MLT_290724 (176430),refresh=true,1
10/23/24,AAO_Linqia_2024_2586401_Custom-Spons_MLT_171024 (188873),refresh=true,75
10/23/24,AAO_Locality_2024_Publisher-Page_Content-Spons_MLT_230924 (179644),refresh=true,2
10/23/24,AAO_Major-League-Soccer_2024_2553641_Content-Spons_MLT_170424 (164913),refresh=true,1
10/23/24,AAO_Major-League-Soccer_2024_2585681_Content-Spons_MLT_091024 (164931),refresh=true,86
10/23/24,AAO_Marketbridge_2024_2579841_Content-Spons_MLT_120924 (184911),refresh=true,1
10/23/24,AAO_Nativo_2024_Webcast_ROS_House_MLT_141024,refresh=true,"1,336"
